City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
bluff,100,NZ,1636845543,88,-46.6,168.3333,50.4,9.31
mgandu,65,TZ,1636845543,51,-5.95,34.1333,68.45,9.51
hofn,100,IS,1636845544,97,64.2539,-15.2082,48.24,28.61
mahebourg,40,MU,1636845544,83,-20.4081,57.7,75.49,9.22
mataura,100,NZ,1636845544,99,-46.1927,168.8643,48.97,1.57
vaini,75,TO,1636845545,78,-21.2,-175.2,80.76,12.66
butaritari,36,KI,1636845545,75,3.0707,172.7902,82.11,15.3
punta arenas,74,PH,1636845546,87,8.9897,125.34,78.31,3.62
norman wells,1,US,1636845364,36,35.2226,-97.4395,60.69,10.36
narsaq,1,GL,1636845546,81,60.9167,-46.05,16.02,3.04
sao filipe,83,IN,1636845547,69,20.5113,76.2129,70.12,4.5
barrow,90,US,1636845547,73,71.2906,-156.7887,15.82,13.8
ushuaia,75,AR,1636845548,33,-54.8,-68.3,56.86,12.66
busselton,43,AU,1636845548,63,-33.65,115.3333,57.04,17.94
bredasdorp,60,ZA,1636845548,89,-34.5322,20.0403,54.28,1.97
tuktoyaktuk,90,CA,1636845549,73,69.4541,-133.0374,19.4,13.8
vardo,100,NO,1636845549,62,70.3705,31.1107,32.99,21.74
axim,20,GH,1636845549,86,4.8699,-2.2405,78.17,6.44
genhe,42,CN,1636845550,88,50.7833,121.5167,16.14,1.7
kapaa,75,US,1636845550,74,22.0752,-159.319,83.12,5.99
arnia,0,IN,1636845551,37,32.5167,74.8,56.79,3.33
baruun-urt,26,MN,1636845551,77,46.6806,113.2792,23.25,5.06
cockburn town,24,AU,1636845551,46,-32.0833,141.0,57.51,19.53
eyl,62,SO,1636845552,75,7.9803,49.8164,77.4,11.88
usinsk,84,RU,1636845552,92,65.9939,57.5281,10.74,8.5
hilo,90,US,1636845553,92,19.7297,-155.09,80.8,6.91
rikitea,50,PF,1636845427,73,-23.1203,-134.9692,73.42,12.68
cabo san lucas,15,BR,1636845553,75,-8.2833,-35.0333,82.33,8.7
puerto colombia,0,ES,1636845553,70,36.5939,-6.233,57.25,5.75
jamestown,90,US,1636845554,96,42.097,-79.2353,38.52,11.01
seddon,90,AU,1636845554,61,-37.8068,144.8916,58.6,7.0
qaanaaq,0,GL,1636845555,54,77.484,-69.3632,-8.82,8.46
lazaro cardenas,59,DO,1636845555,78,19.4558,-71.3261,76.01,2.46
kasongo-lunda,100,CD,1636845556,98,-6.4667,16.8167,68.79,2.59
hobyo,88,SO,1636845556,71,5.3505,48.5268,79.92,11.43
puerto ayacucho,0,ES,1636845374,70,36.5939,-6.233,57.25,5.75
kulhudhuffushi,93,MV,1636845557,80,6.6221,73.07,81.66,25.48
cherskiy,100,RU,1636845557,96,68.75,161.3,17.35,4.68
griffith,90,US,1636845557,71,41.5284,-87.4237,38.05,1.01
puerto ayora,0,ES,1636845558,70,36.5939,-6.233,57.25,5.75
haines junction,90,US,1636845558,81,59.2286,-135.4441,40.68,9.22
codrington,79,AU,1636845558,79,-38.2667,141.9667,51.53,22.28
san cristobal,16,ML,1636845559,20,13.3034,-4.8956,80.92,8.79
upata,76,VE,1636845559,89,8.0086,-62.3989,79.2,4.43
goderich,100,CA,1636845559,70,43.7501,-81.7165,43.92,20.71
harper,67,LR,1636845560,86,4.375,-7.7169,76.96,1.32
yumen,61,CN,1636845560,40,40.2833,97.2,29.07,15.5
atuona,7,PF,1636845561,64,-9.8,-139.0333,77.94,12.1
castro,2,BR,1636845561,92,-24.7911,-50.0119,53.78,10.63
astoria,90,US,1636845371,93,46.1879,-123.8313,56.86,8.01
nikolskoye,100,RU,1636845562,95,59.7035,30.7861,37.87,3.51
port alfred,85,CD,1636845562,57,-7.0349,29.7638,76.5,3.58
kolpashevo,100,RU,1636845563,92,58.3131,82.9089,24.3,8.57
avarua,90,CK,1636845563,83,-21.2078,-159.775,75.25,5.75
tiksi,100,RU,1636845564,97,71.6872,128.8694,-2.2,5.01
ribeira grande,0,ES,1636845564,87,42.7461,-8.4439,57.24,1.14
vieste,99,IT,1636845564,79,41.8825,16.175,60.31,7.56
guerrero negro,1,MX,1636845565,61,17.6667,-100.0,70.83,2.8
ahipara,100,NZ,1636845565,98,-35.1667,173.1667,66.4,14.43
albany,98,US,1636845486,85,42.6001,-73.9662,39.85,10.04
baracoa,88,CU,1636845566,84,20.3467,-74.4958,78.13,4.29
lompoc,1,US,1636845566,36,34.6391,-120.4579,89.91,13.8
paraiso,53,CR,1636845567,95,9.8383,-83.8656,72.46,3.4
bud,97,US,1636845567,76,39.447,-86.1758,37.9,9.69
khatanga,100,RU,1636845567,89,71.9667,102.5,-7.35,7.61
lebu,6,CL,1636845568,70,-37.6167,-73.65,53.92,9.6
callaway,1,US,1636845568,53,30.153,-85.5699,59.95,5.01
hermanus,82,ZA,1636845569,85,-34.4187,19.2345,61.9,5.23
vanimo,97,PG,1636845569,77,-2.6741,141.3028,82.71,1.14
manali,82,IN,1636845570,92,13.1667,80.2667,80.08,3.83
new norfolk,98,LR,1636845570,92,6.6518,-10.5932,72.63,2.59
fortuna,1,US,1636845570,70,40.5982,-124.1573,72.19,3.0
yatou,0,CN,1636845571,59,37.15,122.3833,45.55,4.97
port elizabeth,85,CD,1636845571,57,-7.0349,29.7638,76.5,3.58
vao,5,NC,1636845572,81,-22.6667,167.4833,76.46,8.66
saskylakh,7,RU,1636845572,92,71.9167,114.0833,-17.07,7.54
jilib,20,SO,1636845572,90,0.4883,42.7854,73.51,5.01
san patricio,16,ML,1636845573,20,13.3034,-4.8956,80.92,8.79
asosa,6,ET,1636845573,68,10.0667,34.5333,63.07,5.1
esperance,49,AU,1636845574,63,-33.8667,121.9,55.71,8.48
tatarskaya kargala,0,RU,1636845574,100,47.45,39.9833,29.32,2.24
yanam,80,IN,1636845574,94,16.7333,82.2167,75.33,5.26
paso de los toros,93,BO,1636845575,79,-14.4333,-67.5167,79.57,1.77
lavrentiya,62,RU,1636845575,95,65.5833,-171.0,14.68,4.12
bethel,82,US,1636845576,82,41.3712,-73.414,44.1,3.0
derac,20,HT,1636845576,74,19.65,-71.8167,79.12,6.4
dingle,93,PH,1636845576,91,10.9995,122.6711,78.53,6.15
asyut,0,EG,1636845577,54,27.181,31.1837,69.6,3.69
dikson,13,RU,1636845577,96,73.5069,80.5464,-10.21,1.03
alofi,4,NU,1636845578,74,-19.0595,-169.9187,80.49,3.44
hobart,75,AU,1636845578,65,-42.8794,147.3294,55.26,4.0
valley,69,US,1636845579,81,45.1277,-116.1262,41.61,6.44
martapura,100,ID,1636845579,94,-3.4167,114.85,77.09,2.3
taoudenni,16,ML,1636845580,15,22.6783,-3.9836,77.5,6.29
sibolga,97,ID,1636845580,86,1.7427,98.7792,75.83,3.33
okato,100,NZ,1636845581,98,-39.2,173.8833,69.42,13.15
zaysan,97,KZ,1636845581,83,47.4667,84.8667,27.61,2.86
palana,100,RU,1636845582,86,59.1167,159.9667,31.96,5.14
maniitsoq,0,GL,1636845582,56,65.4167,-52.9,14.16,9.37
saint-philippe,92,RE,1636845582,85,-21.3585,55.7679,74.75,11.3
esil,98,KZ,1636845583,96,51.9556,66.4042,28.44,17.31
tahlequah,1,US,1636845583,29,35.9154,-94.97,50.22,0.0
clyde river,80,US,1636845448,78,41.3042,-82.9752,39.61,16.82
healdsburg,40,US,1636845584,61,38.6105,-122.8692,80.91,4.0
neiafu,75,TO,1636845584,94,-18.65,-173.9833,77.68,0.0
matara,88,LK,1636845584,91,5.9485,80.5353,76.42,9.04
urubicha,85,BO,1636845585,76,-15.3833,-62.95,78.15,4.88
chicaman,73,GT,1636845492,93,15.4,-90.7667,60.04,3.74
porto novo,56,PT,1636845397,79,41.1496,-8.611,57.22,4.0
krasnoturansk,92,RU,1636845586,86,54.3186,91.5639,29.19,4.74
naze,98,JP,1636845586,84,28.3667,129.4833,59.92,13.87
mys shmidta,64,RU,1636845586,96,62.0589,48.6201,17.26,4.74
carnarvon,0,AU,1636845587,73,-24.8667,113.6333,71.67,11.5
meulaboh,100,ID,1636845587,87,4.1363,96.1285,76.3,3.4
grand forks,24,US,1636845588,38,38.8755,-109.5012,60.58,4.29
talnakh,100,RU,1636845588,92,69.4865,88.3972,9.5,11.74
vila franca do campo,24,PT,1636845589,65,42.0304,-8.1588,46.92,3.49
lund,100,SE,1636845589,87,55.7058,13.1932,45.72,6.82
klaksvik,100,FO,1636845590,96,62.2266,-6.589,47.32,31.47
flinders,16,AU,1636845590,50,-34.5833,150.8552,66.06,8.99
rocha,0,UY,1636845326,70,-34.4833,-54.3333,62.1,16.62
almeirim,81,BR,1636845590,62,-1.5233,-52.5817,83.75,6.06
camocim,26,BR,1636845591,79,-2.9022,-40.8411,81.07,12.68
kodiak,90,US,1636845591,69,57.79,-152.4072,27.91,6.91
pangnirtung,94,CA,1636845592,87,66.1451,-65.7125,-1.03,4.59
terrace bay,90,CA,1636845444,100,54.5163,-128.6035,42.42,4.61
batagay-alyta,95,RU,1636845592,93,67.8006,130.4114,-17.79,4.21
yerbogachen,100,RU,1636845593,99,61.2767,108.0108,-0.87,3.11
leshukonskoye,50,RU,1636845593,93,64.8989,45.7622,20.84,4.94
ambulu,100,ID,1636845593,87,-8.345,113.6058,76.08,2.55
cape town,6,CL,1636845594,40,-36.413,-71.9028,62.02,13.35
bozeman,75,US,1636845594,47,45.6796,-111.0386,51.22,5.01
victor harbor,57,US,1636845595,86,42.9826,-77.4089,39.63,3.0
pevek,100,RU,1636845595,93,69.7008,170.3133,4.53,3.94
port blair,85,CD,1636845596,57,-7.0349,29.7638,76.5,3.58
grindavik,90,IS,1636845596,100,63.8424,-22.4338,49.95,34.52
yellowknife,90,CA,1636845594,100,62.456,-114.3525,29.41,8.05
avera,0,US,1636845597,35,33.194,-82.5271,60.67,10.67
abu samrah,44,IN,1636845597,37,24.6,72.7,55.81,2.77
alice springs,1,US,1636845597,26,27.7523,-98.0697,72.97,8.05
cibitoke,100,BI,1636845598,66,-2.8833,29.25,66.49,3.56
airai,100,TL,1636845598,83,-8.9266,125.4092,66.47,1.03
coari,98,BR,1636845599,97,-4.085,-63.1414,73.42,1.57
asau,97,RO,1636845599,78,46.4333,26.4,42.4,3.02
pavlodar,75,KZ,1636845599,86,52.3,76.95,26.4,6.71
kaitangata,100,NZ,1636845600,96,-46.2817,169.8464,49.69,4.72
bandarbeyla,65,SO,1636845600,76,9.4942,50.8122,77.77,12.15
loukhi,100,RU,1636845600,95,66.0764,33.0381,25.92,7.05
faya,0,SA,1636845601,43,18.3851,42.4509,53.71,1.1
parvatsar,1,IN,1636845601,28,26.8833,74.7667,62.83,4.43
san matias,16,ML,1636845573,20,13.3034,-4.8956,80.92,8.79
ramhormoz,7,IR,1636845601,43,31.28,49.6035,64.9,6.04
corpus christi,40,HN,1636845602,52,13.2889,-87.0347,89.04,6.91
necochea,85,AR,1636845602,52,-38.5473,-58.7368,65.84,5.91
saint-georges,20,GD,1636845603,83,12.0564,-61.7485,80.28,11.5
nyurba,30,RU,1636845603,97,63.2842,118.3319,-13.56,4.23
saint-joseph,94,RE,1636845604,83,-21.3667,55.6167,73.76,5.3
mitsamiouli,55,KM,1636845604,75,-11.3847,43.2844,79.77,11.34
gigmoto,98,PH,1636845605,87,13.7796,124.39,80.64,3.87
ardakan,0,IR,1636845605,41,32.31,54.0175,48.58,2.28
thompson,75,CA,1636845595,93,55.7435,-97.8558,23.16,4.61
faanui,97,PF,1636845606,72,-16.4833,-151.75,79.11,14.23
namibe,70,AO,1636845606,79,-15.1961,12.1522,70.86,8.55
hasaki,98,JP,1636845606,59,35.7333,140.8333,50.4,17.18
marsh harbour,31,GB,1636845607,88,53.6512,-1.8078,51.08,3.06
honiara,60,SB,1636845607,69,-9.4333,159.95,85.95,5.01
lianyuan,16,CN,1636845607,77,27.6883,111.6642,51.49,1.72
san juan,16,ML,1636845608,20,13.3034,-4.8956,80.92,8.79
hamilton,90,US,1636845516,75,39.1834,-84.5333,40.08,1.01
hovd,46,MN,1636845608,52,48.0056,91.6419,27.32,8.01
chara,64,RU,1636845609,82,56.9064,118.2631,2.52,1.9
gardendale,20,US,1636845609,69,33.6601,-86.8128,48.06,6.91
touros,44,BR,1636845609,80,-5.1989,-35.4608,81.5,17.2
sao joao da barra,83,IN,1636845547,69,20.5113,76.2129,70.12,4.5
kahului,40,US,1636845610,63,20.8947,-156.47,88.86,12.66
georgetown,20,MY,1636845917,94,5.4112,100.3354,76.95,0.0
marzuq,3,YE,1636845611,23,14.4,46.4667,63.41,0.98
iquitos,75,PE,1636845611,89,-3.7481,-73.2472,78.84,3.44
kargasok,97,RU,1636845611,94,59.0556,80.8572,23.27,9.1
beloha,26,MG,1636845612,95,-25.1667,45.05,69.89,5.75
mar del plata,90,ES,1636845612,91,43.4002,-4.0094,58.01,1.99
megalopoli,100,GR,1636845613,90,37.4011,22.1422,56.41,2.21
laguna,20,US,1636845613,94,38.421,-121.4238,79.21,5.75
cidreira,0,BR,1636845381,71,-30.1811,-50.2056,66.97,25.12
pacific grove,41,US,1636845613,77,38.482,-90.7415,39.38,1.01
yulara,0,AU,1636845614,30,-25.2406,130.9889,67.84,14.97
kizema,93,RU,1636845614,99,61.113,44.8302,19.06,2.33
severo-kurilsk,54,RU,1636845615,77,50.6789,156.125,39.0,17.58
santa cruz de la palma,91,PH,1636845615,83,17.486,120.4348,77.34,4.14
derzhavinsk,90,KZ,1636845616,93,51.1,66.3167,28.18,18.77
jiblah,23,YE,1636845616,60,13.9216,44.1467,56.71,5.26
tungor,36,RU,1636845616,79,53.3808,142.9564,25.74,10.25
torbay,90,CA,1636845617,93,47.6666,-52.7314,48.58,25.32
sal rei,100,JO,1636845617,22,32.5694,35.9119,65.01,10.09
richards bay,90,US,1636845617,93,46.8361,-95.9123,26.85,13.8
alenquer,91,BR,1636845618,68,-1.9417,-54.7383,84.54,2.66
tazovskiy,100,RU,1636845618,93,67.4667,78.7,3.56,16.8
yar-sale,47,RU,1636845618,92,66.8333,70.8333,5.29,4.27
lima,75,PE,1636845423,72,-12.0432,-77.0282,67.89,9.22
ilulissat,4,GL,1636845619,72,69.2167,-51.1,-14.67,6.55
teya,98,RU,1636845619,89,60.3778,92.6267,20.01,9.57
boa vista,26,CM,1636845619,90,4.4296,8.9742,77.41,2.39
bria,72,CF,1636845620,86,6.5423,21.9863,72.5,2.59
chokurdakh,100,RU,1636845620,89,70.6333,147.9167,-3.15,9.84
cayenne,0,GF,1636845621,85,4.9333,-52.3333,81.09,5.01
algeciras,1,ES,1636845621,88,36.1333,-5.4505,64.17,13.8
provideniya,99,RU,1636845621,97,64.3833,-173.3,24.4,2.64
stromness,45,GB,1636845622,91,58.965,-3.296,52.05,14.0
luderitz,5,NA,1636845622,58,-26.6481,15.1594,67.39,15.82
huilong,0,CN,1636845623,67,31.8111,121.655,54.03,8.59
ivanteyevka,100,RU,1636845623,96,55.9711,37.9208,37.49,3.87
paranaiba,99,BR,1636845623,61,-19.6772,-51.1908,77.45,3.53
ust-maya,100,RU,1636845624,96,60.4167,134.5333,-0.36,6.42
cabano,86,PH,1636845624,83,10.5869,122.7002,80.83,11.25
fort nelson,100,NL,1636845624,91,52.6517,6.3861,50.95,5.41
belyy yar,99,RU,1636845625,79,55.8402,32.9419,34.61,3.44
isangel,75,VU,1636845625,78,-19.55,169.2667,82.51,0.0
adre,0,TD,1636845626,19,13.4667,22.2,75.72,13.6
kruisfontein,33,ZA,1636845626,87,-34.0033,24.7314,59.88,11.83
hithadhoo,85,MV,1636845626,77,-0.6,73.0833,81.59,14.18
sisimiut,39,GL,1636845627,89,66.9395,-53.6735,6.57,9.42
darhan,43,MN,1636845627,64,49.4867,105.9228,26.65,2.84
iranshahr,0,IR,1636845628,25,27.2025,60.6848,64.08,2.15
panguipulli,98,CL,1636845628,85,-39.6333,-72.3333,53.31,3.49
perth,0,AU,1636845423,52,-31.9333,115.8333,64.04,31.07
ayr,40,GB,1636845628,93,55.4627,-4.6339,47.1,3.44
saint-pierre,0,RE,1636845629,73,-21.3393,55.4781,74.84,6.91
coahuayana,3,MX,1636845629,68,18.7333,-103.6833,89.08,4.81
longyearbyen,40,SJ,1636845630,52,78.2186,15.6401,8.44,14.97
killarney,88,IE,1636845630,97,52.05,-9.5167,54.61,4.21
springbok,17,ZA,1636845630,42,-29.6643,17.8865,66.07,5.59
ponta do sol,100,PT,1636845631,64,38.7333,-28.2667,58.8,19.42
waipawa,8,NZ,1636845631,59,-41.4122,175.5153,63.3,16.89
arraial do cabo,2,BR,1636845631,85,-22.8362,-46.646,60.21,12.55
emet,59,TR,1636845632,39,39.343,29.2585,44.78,3.36
bilibino,100,RU,1636845632,92,68.0546,166.4372,9.09,5.7
oriximina,66,BR,1636845633,61,-1.7656,-55.8661,82.49,3.09
zonguldak,100,TR,1636845633,52,41.25,31.8333,43.84,3.65
bozoum,58,CF,1636845634,74,6.3193,16.3799,74.25,2.26
kuytun,100,RU,1636845634,94,54.3419,101.5036,24.69,4.63
yarmouth,90,US,1636845634,84,41.7057,-70.2286,56.17,8.99
mogadishu,63,SO,1636845635,77,2.0371,45.3438,79.7,13.4
charters towers,99,US,1636845635,73,38.5736,-83.4333,40.78,7.54
santa ines,91,PH,1636845615,83,17.486,120.4348,77.34,4.14
baudh,95,IN,1636845635,96,20.8416,84.3213,71.8,4.05
salalah,0,OM,1636845636,49,17.0151,54.0924,73.49,4.61
savalou,17,BJ,1636845636,78,7.9281,1.9756,78.48,6.15
katherine,46,AU,1636845636,51,-14.4667,132.2667,82.72,12.66
kutum,0,SD,1636845637,21,14.2,24.6667,69.03,9.13
grand river south east,24,US,1636845638,38,38.8755,-109.5012,60.58,4.29
bambous virieux,69,MU,1636845638,71,-20.2567,57.4061,74.35,11.5
amos,100,CA,1636845638,96,48.5669,-78.1162,34.07,8.41
norton shores,68,ZW,1636845639,67,-17.8833,30.7,67.28,5.55
kogon,0,UZ,1636845639,56,39.7228,64.5517,39.24,4.61
sao bartolomeu de messines,83,IN,1636845640,69,20.5113,76.2129,70.12,4.5
langsa,100,ID,1636845640,95,4.4683,97.9683,74.08,2.04
mackay,29,AU,1636845578,44,-21.15,149.2,83.05,11.03
esfarayen,3,IR,1636845641,70,37.0765,57.5101,28.06,1.52
san quintin,16,ML,1636845608,20,13.3034,-4.8956,80.92,8.79
beringovskiy,100,RU,1636845641,95,63.05,179.3167,24.15,2.93
kapuskasing,90,CA,1636845641,93,49.4169,-82.4331,30.29,12.66
lichinga,25,MZ,1636845642,59,-13.3128,35.2406,68.58,7.74
lorengau,96,PG,1636845642,73,-2.0226,147.2712,84.07,5.7
campbell river,90,US,1636845643,76,38.9501,-84.3833,39.6,1.01
zyryanskoye,100,RU,1636845643,92,56.8306,86.6258,23.67,10.29
alta floresta,40,NO,1636845644,91,69.9689,23.2717,29.44,4.61
suntar,18,RU,1636845644,99,62.1444,117.6319,-11.16,3.11
sola,99,VU,1636845645,75,-13.8833,167.55,82.4,16.04
bambanglipuro,100,ID,1636845645,91,-7.95,110.2833,76.12,2.42
upernavik,95,GL,1636845645,93,72.7868,-56.1549,5.13,5.08
hazorasp,21,UZ,1636845646,66,41.3194,61.0742,39.04,9.62
wasilla,20,US,1636845641,76,61.5814,-149.4394,22.39,4.0
shimoda,95,JP,1636845646,65,34.6667,138.95,62.96,8.61
