City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
coquimbo,0,CL,1636845380,72,-29.9533,-71.3436,60.53,14.97
mecca,37,SA,1636845446,65,21.4267,39.8261,77.38,4.23
kargopol,32,RU,1636845647,80,61.5071,38.9456,25.97,3.13
lata,62,PT,1636845647,73,40.1629,-8.3327,52.03,3.76
caravelas,100,BR,1636845647,88,-17.7125,-39.2481,68.18,11.97
kurilsk,64,RU,1636845648,75,45.2333,147.8833,45.07,8.86
smirnykh,11,RU,1636845648,69,49.75,142.8333,30.4,2.48
khilok,65,RU,1636845648,97,51.3674,110.4676,18.63,4.56
chippewa falls,90,US,1636845649,93,46.3,-84.4834,35.6,10.36
ramona,1,US,1636845649,21,33.0417,-116.8681,87.93,5.01
merauke,83,ID,1636845650,71,-8.4667,140.3333,84.22,4.07
formoso do araguaia,94,BR,1636845650,90,-14.9467,-46.2319,68.32,5.68
shieli,73,KZ,1636845651,38,44.1667,66.75,31.84,8.55
vestmanna,90,FO,1636845651,93,62.1564,-7.1664,45.52,21.85
sarkand,21,KZ,1636845651,52,45.41,79.9186,37.99,6.06
agadez,100,NE,1636845652,13,19.75,10.25,80.76,7.78
liku,100,ID,1636845652,93,-0.7275,119.8922,75.83,2.57
yinchuan,0,CN,1636845653,32,38.4681,106.2731,35.89,3.74
nalut,28,LY,1636845653,39,30.3333,10.85,65.3,9.08
yangjiang,34,CN,1636845654,63,21.85,111.9667,60.93,6.58
geraldton,90,AU,1636845654,83,-28.7667,114.6,68.41,10.36
tuni,84,IN,1636845654,94,17.35,82.55,74.46,6.71
iqaluit,20,CA,1636845655,76,63.7506,-68.5145,-4.27,18.99
saint-francois,75,FR,1636845655,98,46.4154,3.9054,50.47,6.91
mandurah,70,AU,1636845655,55,-32.55,115.7,64.22,19.39
east london,100,IS,1636845656,100,65.0,-15.0,44.35,17.36
wanning,73,CN,1636845656,77,18.8003,110.3967,67.8,8.9
tautira,69,PF,1636845656,64,-17.7333,-149.15,86.02,9.71
acapulco,1,MX,1636845657,70,16.8634,-99.8901,84.02,5.75
denham springs,90,GB,1636845657,81,51.5667,-0.5,53.08,6.91
ouango,94,CF,1636845658,97,4.3133,22.5552,70.02,1.72
rundu,93,NA,1636845658,31,-17.9333,19.7667,80.37,5.73
goure,82,NE,1636845659,14,13.9835,10.2704,84.02,7.94
khorixas,82,NA,1636845659,34,-20.3667,14.9667,75.6,9.46
new amsterdam,98,LR,1636845660,92,6.6518,-10.5932,72.63,2.59
grand gaube,24,US,1636845638,38,38.8755,-109.5012,60.58,4.29
eltham,86,NZ,1636845660,93,-39.4292,174.3,68.18,11.99
tasiilaq,100,GL,1636845660,89,65.6145,-37.6368,33.96,27.98
guayaramerin,59,BO,1636845661,92,-10.8368,-65.3614,75.27,1.88
asilah,0,MA,1636845661,77,35.465,-6.0348,64.36,14.18
avesta,59,SE,1636845662,99,60.1455,16.1679,35.13,2.89
dufftown,25,GB,1636845662,96,57.4333,-3.1333,46.42,5.77
talkha,4,EG,1636845662,69,31.0539,31.3779,66.42,5.39
santa rosalia,91,PH,1636845663,83,17.486,120.4348,77.34,4.14
mizdah,68,LY,1636845663,83,31.4451,12.9801,60.39,15.05
agar,6,IN,1636845663,47,23.7,76.0167,59.31,5.64
victoria,9,HK,1636845426,59,22.2855,114.1577,69.33,1.01
rawson,100,AR,1636845650,68,-43.3002,-65.1023,61.68,8.03
troitskoye,100,RU,1636845664,99,52.9821,84.6757,31.87,7.27
inuvik,90,CA,1636845664,89,68.3499,-133.7218,16.56,10.36
ericeira,55,PT,1636845665,91,38.9627,-9.4156,62.35,6.73
vredendal,76,ZA,1636845665,66,-31.6683,18.5012,65.89,6.89
sitka,90,US,1636845666,87,57.0531,-135.33,39.09,6.91
soanierana ivongo,20,MG,1636845666,88,-18.9363,47.5246,64.29,4.61
shelburne,87,CA,1636845371,97,44.0787,-80.2041,37.27,14.09
aswan,0,EG,1636845666,68,24.0934,32.907,70.9,5.75
deniliquin,32,AU,1636845667,51,-35.5333,144.9667,54.0,14.38
havre-saint-pierre,40,CA,1636845667,100,50.2334,-63.5986,39.2,2.3
nanortalik,2,GL,1636845668,70,60.1432,-45.2371,21.76,29.39
oksovskiy,46,RU,1636845668,87,62.6062,39.8984,25.05,2.21
pisco,0,PE,1636845668,72,-13.7,-76.2167,66.25,17.27
aksu,2,CN,1636845669,45,41.1231,80.2644,31.69,1.63
maragogi,24,BR,1636845669,76,-9.0122,-35.2225,78.55,10.65
matata,100,NZ,1636845670,99,-37.8833,176.75,72.52,10.74
mombetsu,61,JP,1636845670,75,44.3525,143.3525,44.85,7.23
bilma,82,NE,1636845670,15,18.6853,12.9164,79.81,6.4
malkangiri,80,IN,1636845671,95,18.35,81.9,71.15,2.48
salinas,1,US,1636845547,44,36.6777,-121.6555,82.0,4.61
portland,75,US,1636845682,92,45.5234,-122.6762,60.21,1.99
riberalta,75,BO,1636845671,94,-10.9833,-66.1,75.4,0.0
tulnici,98,RO,1636845672,62,45.9167,26.6667,39.38,4.32
viedma,100,AR,1636845672,85,-40.8135,-62.9967,60.44,10.36
sobolevo,72,RU,1636845672,89,54.4299,31.8996,32.49,4.79
antalya,0,TR,1636845673,47,36.7741,30.7178,55.99,9.22
bobcaygeon,87,CA,1636845673,75,44.5462,-78.542,40.64,12.37
amazar,29,RU,1636845674,88,53.858,120.875,15.96,2.64
washougal,75,US,1636845548,86,45.5826,-122.3534,62.92,0.0
cortes,87,ES,1636845674,73,41.9395,-1.4396,56.48,18.34
ilmajoki,90,FI,1636845675,73,62.7333,22.5667,29.98,3.44
cermik,12,TR,1636845675,45,38.1361,39.4493,36.09,0.85
aasiaat,78,GL,1636845675,97,68.7098,-52.8699,-7.1,5.79
port said,85,CD,1636845562,57,-7.0349,29.7638,76.5,3.58
chuy,0,UY,1636845676,74,-33.6971,-53.4616,63.84,19.06
praia da vitoria,40,CV,1636845676,73,14.9215,-23.5087,75.74,10.36
takoradi,22,GH,1636845677,84,4.8845,-1.7554,79.02,6.4
aklavik,90,CA,1636845677,85,68.2191,-135.0107,16.52,6.91
tankara,97,IN,1636845677,40,22.6667,70.7333,77.9,7.43
farafangana,100,MG,1636845678,87,-22.8167,47.8333,74.43,8.03
gat,100,IL,1636845678,37,31.61,34.7642,74.91,5.88
muisne,97,EC,1636845678,82,0.6,-80.0333,77.11,7.81
araouane,95,ML,1636845668,12,18.9048,-3.5265,78.58,6.42
demyansk,100,RU,1636845679,87,57.643,32.466,35.08,3.62
egvekinot,90,RU,1636845680,90,66.3167,-179.1667,7.14,3.0
halifax,100,CA,1636845598,96,44.6453,-63.5724,53.6,1.01
komsomolskiy,49,UZ,1636845680,80,40.4272,71.7189,36.32,6.91
qasigiannguit,7,GL,1636845680,87,68.8193,-51.1922,-14.12,5.99
gobabis,78,NA,1636845681,34,-22.45,18.9667,74.01,7.38
moyale,95,KE,1636845681,77,3.5167,39.0584,68.68,5.66
zyryanka,100,RU,1636845681,96,65.75,150.85,2.88,10.18
pithapuram,88,IN,1636845682,94,17.1167,82.2667,74.66,6.67
dwarka,98,IN,1636845682,49,22.2394,68.9678,78.39,8.5
vaasa,20,FI,1636845683,100,63.096,21.6158,35.94,2.3
zhigansk,48,RU,1636845683,100,66.7697,123.3711,-27.6,2.82
araguacu,89,BR,1636845683,83,-12.9306,-49.8264,76.1,1.52
ust-nera,100,RU,1636845684,99,64.5667,143.2,-0.2,5.35
asbestovskiy,98,RU,1636845684,96,57.7557,61.3967,23.49,5.61
altamira,98,BR,1636845684,70,-3.2033,-52.2064,80.83,2.59
buritama,50,BR,1636845685,52,-21.0661,-50.1472,75.61,5.93
dali,74,CN,1636845685,92,25.7,100.1833,50.94,1.9
surt,100,LY,1636845685,50,31.2089,16.5887,71.08,12.19
bonavista,100,CA,1636845686,91,48.6499,-53.1147,48.2,24.18
flin flon,99,FR,1636845686,99,48.4982,6.6557,50.27,4.81
casma,71,CL,1636845389,55,-41.0082,-73.1244,54.68,4.27
tena,78,EC,1636845686,81,-0.9833,-77.8167,83.16,1.59
ngorongoro,51,TZ,1636845389,77,-3.2397,35.4875,52.93,4.9
namtsy,39,RU,1636845687,98,62.7161,129.6658,-18.29,4.68
lavumisa,32,SZ,1636845687,92,-27.31,31.892,69.21,2.24
ardalstangen,36,NO,1636845688,95,61.2371,7.6983,30.43,4.97
nichinan,98,JP,1636845688,75,31.6,131.3667,55.08,2.62
formosa,0,AR,1636845688,51,-26.1775,-58.1781,84.18,13.8
broome,40,US,1636845689,72,42.2506,-75.833,40.46,11.01
scottsbluff,20,US,1636845425,34,41.8666,-103.6672,64.63,8.01
kavieng,60,PG,1636845689,64,-2.5744,150.7967,84.07,9.04
jimenez,0,MX,1636845690,21,28.3333,-105.4,81.34,4.68
krutikha,100,RU,1636845690,96,53.9599,81.2093,30.47,12.39
beoumi,52,CI,1636845690,88,7.6736,-5.5764,76.78,2.84
celestun,79,MX,1636845691,69,20.8667,-90.4,78.66,14.54
campbellsville,58,US,1636845691,55,37.3434,-85.3419,38.84,5.64
bosaso,7,SO,1636845691,76,11.2842,49.1816,76.64,4.25
bathsheba,40,BB,1636845692,74,13.2167,-59.5167,81.21,12.66
provost,9,CA,1636845692,39,52.3501,-110.2683,45.82,16.64
lanzhou,53,CN,1636845693,35,36.0564,103.7922,20.48,1.14
socol,98,RO,1636845693,78,44.8608,21.3703,51.89,1.01
lawrenceburg,90,US,1636845693,71,38.0373,-84.8966,39.56,3.0
beauvais,90,FR,1636845693,97,49.4167,2.0,50.81,1.01
inverell,0,AU,1636845694,45,-29.7833,151.1167,64.11,8.01
cabadiangan,71,PH,1636845694,85,9.7531,122.4739,79.66,4.56
vanderhoof,80,CA,1636845694,79,54.0166,-124.0198,37.33,0.92
damietta,73,EG,1636845695,64,31.4165,31.8133,73.29,4.61
bengkulu,100,ID,1636845695,90,-3.8004,102.2655,75.16,4.27
ondjiva,99,AO,1636845695,41,-17.0667,15.7333,78.19,3.83
celarevo,100,RS,1636845696,62,45.2694,19.5253,48.22,3.42
mananjary,91,MG,1636845696,85,-21.2167,48.3333,75.25,9.82
fonte boa,100,IT,1636845697,78,45.7839,11.8746,55.02,3.33
oussouye,100,SN,1636845697,67,12.485,-16.5469,78.98,5.03
vila do maio,24,PT,1636845697,65,42.0304,-8.1588,46.92,3.49
marienburg,100,PL,1636845698,74,54.0359,19.0266,44.85,5.48
buala,20,SB,1636845698,67,-8.145,159.5921,85.46,6.49
ponta delgada,100,PT,1636845698,64,38.7333,-28.2667,58.8,19.42
cairns,76,AU,1636845699,52,-16.9167,145.7667,88.11,11.5
chipinge,41,ZW,1636845699,85,-20.1883,32.6236,61.52,3.42
amapa,63,BR,1636845700,62,1.0,-52.0,81.01,5.1
half moon bay,90,LR,1636845700,85,6.3807,-10.6953,73.29,5.03
kathu,99,TH,1636845700,99,7.9178,98.3332,80.69,1.79
cotonou,40,BJ,1636845701,79,6.3654,2.4183,84.18,11.5
ntoum,99,GA,1636845701,97,0.3833,9.7833,78.57,3.18
lohardaga,98,IN,1636845701,95,23.4333,84.6833,66.06,0.49
marawi,98,PH,1636845702,89,7.9986,124.2928,68.65,1.88
lincoln,1,US,1636845702,65,40.8,-96.667,43.18,5.01
anloga,16,GH,1636845702,80,5.7947,0.8973,82.62,9.6
port macquarie,85,CD,1636845571,57,-7.0349,29.7638,76.5,3.58
mao,0,ES,1636845703,82,39.8885,4.2658,59.56,14.97
poitiers,90,FR,1636845703,66,46.5833,0.3333,52.21,6.91
camana,78,PE,1636845703,81,-16.6228,-72.7111,64.99,8.08
omboue,97,GA,1636845438,94,-1.5746,9.2618,76.03,5.03
jacareacanga,100,BR,1636845704,98,-6.2222,-57.7528,74.61,1.86
redmond,100,US,1636845653,89,47.674,-122.1215,51.55,1.01
mosquera,75,CO,1636845705,94,4.7059,-74.2302,55.49,3.44
isilkul,100,RU,1636845705,96,54.9109,71.2728,27.01,10.85
leh,0,IN,1636845705,47,34.1667,77.5833,17.26,3.18
akureyri,75,IS,1636845705,71,65.6835,-18.0878,46.33,24.16
barro,68,BR,1636845706,36,-6.7167,-38.8667,86.76,3.2
ibra,0,OM,1636845706,27,22.6906,58.5334,66.76,4.23
bani walid,88,DO,1636845707,81,18.2833,-70.3333,80.04,7.23
barsovo,82,RU,1636845707,96,61.1667,73.1667,8.73,5.1
port shepstone,85,CD,1636845596,57,-7.0349,29.7638,76.5,3.58
sawtell,0,AU,1636845707,43,-30.3833,153.1,74.19,11.5
camacha,40,PT,1636845708,72,33.0833,-16.3333,65.16,9.22
nantucket,4,US,1636845521,86,41.2835,-70.0995,55.99,29.46
melekhovo,68,RU,1636845708,97,56.2773,41.2935,26.53,5.37
fare,100,PF,1636845709,66,-16.7,-151.0167,78.78,11.81
bereda,64,ES,1636845709,99,43.2686,-7.5406,51.91,3.18
raudeberg,41,NO,1636845709,67,61.9875,5.1352,43.2,4.74
tsiroanomandidy,98,MG,1636845710,79,-18.7667,46.0333,68.0,2.13
prainha,39,BR,1636845710,64,-1.8,-53.48,81.59,3.36
arlit,92,NE,1636845710,13,18.7369,7.3853,79.57,10.0
brae,99,GB,1636845711,92,60.3964,-1.353,49.91,16.82
porto velho,56,PT,1636845541,79,41.1496,-8.611,57.22,4.0
hargeysa,10,SO,1636845711,72,9.56,44.065,62.42,10.94
jardim,12,BR,1636845712,48,-21.4803,-56.1381,81.84,10.29
mabaruma,100,GY,1636845712,88,8.2,-59.7833,75.25,3.53
okha,69,RU,1636845713,78,53.5739,142.9478,27.19,13.29
alihe,0,CN,1636845713,72,50.5667,123.7167,20.5,2.95
rio grande,100,GR,1636845713,76,38.3,21.7833,61.59,5.48
buraydah,100,SA,1636845714,37,26.326,43.975,64.85,8.7
ketchikan,90,US,1636845714,87,55.3422,-131.6461,43.27,6.91
boulder city,1,US,1636845715,31,40.0833,-105.3505,58.78,4.0
plettenberg bay,99,DE,1636845715,97,51.2167,7.8833,44.29,1.79
lokosovo,76,RU,1636845715,99,61.1333,74.8167,4.39,4.14
richard toll,64,CA,1636845716,88,52.7001,-107.668,39.18,7.05
shingu,99,JP,1636845716,71,33.7333,135.9833,54.59,3.56
noyabrsk,79,RU,1636845716,97,63.1994,75.4507,0.28,9.8
ambilobe,87,MG,1636845717,80,-13.2,49.05,74.46,4.59
zaria,88,NG,1636845717,21,11.1113,7.7227,73.38,4.88
shenjiamen,0,CN,1636845718,71,29.9576,122.298,56.59,6.6
bam,0,IR,1636845718,34,29.106,58.357,56.84,9.33
hay river,3,GB,1636845718,93,52.0705,-3.1274,49.86,1.79
debre tabor,64,MK,1636845719,85,41.525,20.5275,45.82,0.94
srednekolymsk,100,RU,1636845719,96,67.45,153.6833,8.01,6.08
kusa,100,RU,1636845719,95,55.3383,59.4406,23.94,7.83
ayan,100,RU,1636845720,64,56.45,138.1667,20.07,16.87
albania,66,AL,1636845720,76,41.0,20.0,52.99,4.0
tonantins,95,BR,1636845721,81,-2.8731,-67.8022,76.84,2.19
houma,1,US,1636845654,51,29.5958,-90.7195,57.2,5.75
smithers,75,CA,1636845721,87,54.7804,-127.1743,35.92,2.3
kapoeta,54,SS,1636845722,42,4.7717,33.5903,83.52,13.76
margate,100,GB,1636845722,89,51.3813,1.3862,51.96,7.0
kuching,40,MY,1636845617,94,1.55,110.3333,77.22,2.3
hengshan,95,CN,1636845723,91,45.2,130.9167,30.74,5.68
praya,40,CV,1636845723,73,14.9215,-23.5087,75.74,10.36
zhuhai,0,CN,1636845723,64,22.2769,113.5678,69.06,12.66
bairiki,40,KI,1636845724,66,1.3292,172.9752,86.0,11.5
muriti,84,TZ,1636845724,70,-1.9833,32.9167,76.41,13.76
ariquemes,100,BR,1636845724,98,-9.9133,-63.0408,74.91,3.04
eregli,97,TR,1636845725,34,37.5133,34.0467,46.35,1.34
tselinnoye,100,RU,1636845725,97,53.0833,85.6667,31.15,9.78
ejido,100,VE,1636845726,96,8.5514,-71.2375,68.09,0.36
majene,100,ID,1636845726,85,-3.5403,118.9707,77.52,5.88
baherden,1,TM,1636845727,65,38.4362,57.4316,48.07,3.4
fairbanks,1,US,1636845448,79,64.8378,-147.7164,3.6,0.0
visnes,40,NO,1636845727,87,59.3556,5.2242,41.58,9.22
olenegorsk,75,RU,1636845728,95,68.15,33.3,19.13,4.94
bronnoysund,20,NO,1636845728,93,65.4625,12.1997,32.0,1.14
kiunga,98,PG,1636845728,68,-6.1219,141.2906,83.59,1.99
sheridan,90,US,1636845729,36,44.8333,-106.9173,49.01,1.01
loksa,100,EE,1636845729,90,59.5764,25.7214,37.42,5.99
grand baie,24,US,1636845638,38,38.8755,-109.5012,60.58,4.29
tommot,84,RU,1636845730,98,58.9564,126.2925,-4.52,2.75
hualmay,30,PE,1636845730,80,-11.0964,-77.6139,65.39,9.48
port hardy,85,CD,1636845562,57,-7.0349,29.7638,76.5,3.58
oranjemund,5,NA,1636845731,87,-28.55,16.4333,61.65,14.16
olafsvik,100,IS,1636845731,92,64.8945,-23.7142,47.3,33.67
aguining,19,PH,1636845731,82,10.0861,124.5944,80.91,3.04
college,20,US,1636845732,79,64.8569,-147.8028,3.58,0.0
ankang,2,CN,1636845732,72,32.68,109.0172,43.32,0.54
korla,3,CN,1636845733,44,41.7597,86.1469,30.52,2.68
juegang,0,CN,1636845733,64,32.3174,121.1855,50.92,8.3
atar,10,MR,1636845733,34,20.5169,-13.0499,79.79,3.6
stykkisholmur,95,IS,1636845607,93,65.0757,-22.7297,45.16,19.17
kununurra,19,AU,1636845734,33,-15.7667,128.7333,87.78,10.36
ilheus,90,BR,1636845734,88,-14.7889,-39.0494,73.22,12.66
rengo,8,CL,1636845734,38,-34.4167,-70.8667,70.12,6.17
talara,0,PE,1636845735,77,-4.5772,-81.2719,68.76,16.11
petrivka,82,UA,1636845735,91,46.9695,30.9591,50.45,8.34
huarmey,24,PE,1636845736,79,-10.0681,-78.1522,65.77,9.71
morondava,3,MG,1636845736,85,-20.2833,44.2833,76.68,4.63
harboore,73,DK,1636845736,92,56.6175,8.1807,46.96,16.22
vila velha,24,PT,1636845589,65,42.0304,-8.1588,46.92,3.49
kharan,0,PK,1636845737,13,28.5833,65.4167,58.44,5.03
port moresby,85,CD,1636845737,57,-7.0349,29.7638,76.5,3.58
havelock,0,US,1636845737,84,34.8791,-76.9013,64.35,6.22
kaeo,100,NZ,1636845738,99,-35.1,173.7833,66.97,14.09
cap malheureux,100,FR,1636845738,67,49.2718,-1.2104,55.85,8.57
blagoyevo,19,RU,1636845739,95,63.3667,47.9167,16.23,3.71
maningrida,99,AU,1636845739,48,-12.0667,134.2667,83.61,14.05
north bend,100,FR,1636845577,95,50.3333,3.6667,50.43,6.02
igarka,100,RU,1636845740,95,67.4667,86.5833,9.48,11.12
villa carlos paz,100,IT,1636845740,98,46.2039,10.1339,50.5,0.27
dogondoutchi,8,NE,1636845740,21,13.6393,4.0287,84.04,2.42
valparaiso,0,CL,1636845710,42,-33.0393,-71.6273,67.64,5.75
penzance,6,GB,1636845741,87,50.1186,-5.5371,52.81,6.73
numan,46,NG,1636845741,35,9.4667,12.0333,79.86,3.18
pilar,10,BR,1636845742,82,-9.5972,-35.9567,76.93,5.14
puerto pinasco,0,ES,1636845558,70,36.5939,-6.233,57.25,5.75
sinjar,14,IQ,1636845742,41,36.3209,41.8754,54.77,3.02
kasamwa,89,TZ,1636845743,80,-2.85,32.4333,70.54,3.33
tual,84,ID,1636845743,72,-5.6667,132.75,83.98,6.26
gizo,70,SB,1636845744,69,-8.103,156.8419,84.43,3.69
mubi,34,NG,1636845744,25,10.2676,13.2644,75.94,1.99
